scenario_name,baseline_spend,simulated_spend,dollar_impact,percent_impact,top_provider_impact,top_hcpcs_impact,top_service_category_impact
All Rates +5%,136640095.45000002,143472100.22250003,6832004.772500008,0.05000000000000005,164187.93350000028,2510393.577500008,2510393.577500008
All Rates -5%,136640095.45000002,129808090.6775,-6832004.772500023,-0.05000000000000016,-164187.93350000028,-2510393.5775000006,-2510393.5775000006
Align to 100% Medicare,136640095.45,133983746.17999999,-2656349.269999996,-0.019440481662807534,-1003879.4699999997,-997617.9900000021,-997617.9900000021
PRV017 -5%,136640095.45000002,136475907.5165,-164187.9335000217,-0.0012016087441925282,-164187.93350000028,,
Surgery +5%,136640095.45,139150489.0275,2510393.5775000155,0.018372305502513578,2510393.577500008,,
